en 🇺🇸,en-au 🇦🇺,en-ca 🇨🇦,en-gb 🇬🇧,en-nz 🇳🇿,en-za 🇿🇦,pos,description
,https://translate.wordpress.org/projects/wp/dev/en-au/default/glossary,https://translate.wordpress.org/projects/wp/dev/en-ca/default/glossary,https://translate.wordpress.org/projects/wp/dev/en-gb/default/glossary,,,,Glossary Link
analyze,analyse,analyze,analyse,analyse,analyse,verb,
analyzed,analysed,analyzed,analysed,analysed,analysed,verb,
analyzes,analyses,analyzes,analyses,analyses,analyses,verb,
analyzing,analysing,analyzing,analysing,analysing,analysing,verb,
anonymize,anonymise ,anonymize,anonymise ,anonymise ,anonymise ,verb,
apologize,apologise,apologize,apologise,apologise,apologise,verb,
authorization,authorisation,authorization,authorisation,authorisation,authorisation,verb,
authorize,authorise,authorize,authorise,authorise,authorise,verb,
authorized,authorised,authorized,authorised,authorised,authorised,verb,
behavior,behaviour,behaviour,behaviour,behaviour,behaviour,noun,
canceled,cancelled,cancelled,cancelled,cancelled,cancelled,verb,Differences!G1
canceling,cancelling,cancelling,cancelling,cancelling,cancelling,verb,
capitalize,capitalise,capitalize,capitalise,capitalise,capitalise,verb,
capitalized,capitalised,capitalized,capitalised,capitalised,capitalised,verb,
capitalizes,capitalises,capitalizes,capitalises,capitalises,capitalises,verb,
cart,cart,cart,basket,cart,cart,noun,ecommerce
catalog,catalogue,catalogue,catalogue,catalogue,catalogue,verb,
categorize,categorise,categorize,categorise,categorise,categorise,verb,
categorized,categorised,categorized,categorised,categorised,categorised,verb,
center,centre,centre,centre,centre,centre,verb,
centered,centred,centred,centred,centred,centred,,
centering,centring,centring,centring,centring,centring,,
centimeter,centimetre,centimetre,centimetre,centimetre,centimetre,noun,
centimeters,centimetres,centimetres,centimetres,centimetres,centimetres,noun,
centralize,centralise,centralize,centralise,centralise,centralise,verb,
centralized,centralised,centralized,centralised,centralised,centralised,verb,
check,cheque,cheque,cheque,cheque,cheque,noun,"A Bank cheque, used with wordcamp.org"
color,colour,colour,colour,colour,colour,verb,Don't change inside inline style attributes.
colorful,colourful,colourful,colourful,colourful,colourful,adjective,
colors,colours,colours,colours,colours,colours,noun,Don't change inside inline style attributes.
customizable,customisable,customizable,customisable,customisable,customisable,verb,
customization,customisation,customization,customisation,customisation,customisation,verb,
customizations,customisations,customizations,customisations,customisations,customisations,verb,
customize,customise,customize,customise,customise,customise,verb,
customized,customised,customized,customised,customised,customised,verb,
Customizer,Customiser,Customizer,Customiser,Customiser,Customiser,proper noun,
customizing,customising,customizing,customising,customising,customising,verb,
datacenter,datacentre,data centre,data centre,data centre,data centre,noun,
defense,defence,defence,defence,defence,defence,noun,
democratize,democratise,democratize,democratise,democratise,democratise,verb,
democratizing,democratising,democratizing,democratising,democratising,democratising,verb,
dialog,dialogue,dialogue,dialogue,dialogue,dialogue,verb,
dialogs,dialogues,dialogues,dialogues,dialogues,dialogues,verb,
digitize,digitise,digitize,digitise,digitise,digitise,verb,
digitized,digitised,digitized,digitised,digitised,digitised,verb,
disorganize,disorganise,disorganize,disorganise,disorganise,disorganise,verb,
disorganized,disorganised,disorganized,disorganised,disorganised,disorganised,,https://english.stackexchange.com/questions/62539/correct-usage-of-disorganised-vs-unorganised
endeavor,endeavour,endeavour,endeavour,endeavour,endeavour,verb,
enroll,enrol,enroll,enrol,enrol,enrol,verb,
enrollment,enrolment,enrollment,enrolment,enrolment,enrolment,verb,
favor,favour,favour,favour,favour,favour,noun,
favor,favour,favour,favour,favour,favour,verb,
favorite,favourite,favourite,favourite,favourite,favourite,verb,
favorited,favourited,favourited,favourited,favourited,favourited,verb,
favorites,favourites,favourites,favourites,favourites,favourites,verb,
finalize,finalise,finalize,finalise,finalise,finalise,verb,
finalized,finalised,finalized,finalised,finalised,finalised,verb,
fulfill,fulfil,fulfill ,fulfil,fulfil,fulfil,verb,
fulfillment,fulfilment,fulfillment,fulfilment,fulfilment,fulfilment,noun,
gray,grey,grey,grey,grey,grey,adjective,
honor,honour,honour,honour,honour,honour,verb,
honored,honoured,honoured,honoured,honoured,honoured,verb,
hood,bonnet,hood,bonnet,hood,bonnet,noun,"As in ""Under the hood..."""
Howdy,G'day,Hi,Hi,Kia Ora,Howzit,expression,
huh?,huh?,eh?,huh?,eh?,huh?,expression,For the cheating messages.
