en,en-gb,pos,description
AJAX,Ajax,noun,"Correct capitalisation."
ajax,Ajax,noun,"Correct capitalisation."
analyze,analyse,verb,
analyzed,analysed,verb,
analyzes,analyses,verb,
analyzing,analysing,verb,
anonymize,"anonymise ",verb,
authorization,authorisation,verb,
authorize,authorise,verb,
authorized,authorised,verb,
canceling,cancelling,verb,
capitalize,capitalise,verb,
capitalized,capitalised,verb,
capitalizes,capitalises,verb,
cart,basket,noun,ecommerce
catalog,catalogue,verb,
categorize,categorise,verb,
categorized,categorised,verb,
center,centre,verb,
changelog,"change log",noun,
color,colour,verb,"Don't change inside inline style attributes."
colorful,colourful,adjective,
colors,colours,noun,
css,CSS,noun,
customizable,customisable,verb,
customization,customisation,verb,
customizations,customisations,verb,
customize,customise,verb,
customized,customised,verb,
Customizer,Customiser,"proper noun",
customizing,customising,verb,
dialog,dialogue,verb,
dialogs,dialogues,verb,
endeavor,endeavour,verb,
favorite,favourite,verb,
favorited,favourited,verb,
favorites,favourites,verb,
gray,grey,adjective,
hood,bonnet,noun,"As in ""Under the hood..."""
Howdy,Hi,noun,
huh,huh,expression,"For the cheating messages."
initialize,initialise,verb,
initialized,initialised,verb,
initializing,initialising,verb,
internationalization,internationalisation,verb,
internationalize,internationalise,verb,
internationalized,internationalised,verb,
javascript,JavaScript,noun,"Correct capitalisation."
Javascript,JavaScript,noun,"Correct capitalisation."
jquery,jQuery,noun,"Correct capitalisation."
license,licence,noun,
license,license,verb,
localization,localisation,verb,
localize,localise,verb,
localized,localised,verb,
maximize,"maximise ",verb,
maximized,maximised,verb,
minimize,minimise,verb,
minimized,minimised,verb,
modernize,modernise,verb,
modernized,modernised,verb,
neighbor,neighbour,verb,
normalize,normalise,verb,
normalized,normalised,verb,
optimization,"optimisation ",verb,
optimizations,optimisations,verb,
optimize,optimise,verb,
optimized,optimised,verb,
optimizing,optimising,verb,
organization,organisation,verb,
organizations,organisations,verb,
organize,organise,verb,
organized,organised,verb,
organizer,organiser,verb,
organizers,organisers,verb,
organizing,organising,verb,
personalization,personalisation,noun,
personalize,personalise,verb,
personalized,personalised,verb,
php,PHP,noun,"Correct capitalisation."
prioritization,prioritisation,verb,
Publicize,Publicise,noun,"Jetpack module name"
publicize,publicise,verb,
randomize,randomise,verb,
randomizing,randomising,verb,
realize,realise,verb,
realized,realised,verb,
recognize,recognise,verb,
recognized,recognised,verb,
reorganize,reorganise,verb,
reorganized,reorganised,verb,
"sanitization ","sanitisation ",verb,
sanitize,sanitise,verb,
sanitized,sanitised,verb,
sanitizing,sanitising,verb,
seo,SEO,noun,"Correct capitalisation."
serialize,serialise,verb,
serialized,serialised,verb,
standardize,standardise,verb,
standardized,standardised,noun,
symbolize,symbolise,verb,
symbolizes,symbolises,verb,
synchronization,synchronisation,verb,
synchronize,synchronise,verb,
synchronized,synchronised,verb,
trash,bin,noun,
trash,bin,verb,
trashed,binned,verb,
traveling,travelling,verb,
unauthorized,unauthorised,verb,
uncategorized,uncategorised,verb,
url,URL,noun,"Correct capitalisation."
utilize,utilise,verb,
utilized,utilised,noun,
utilized,utilised,verb,
utilizes,utilises,verb,
utilizing,utilising,verb,
widgetized,widgetised,verb,
wordpress,WordPress,noun,"Correct capitalisation."
